Date,Symbols,Close,High,Low,Open,Volume
2020-12-22,MRNA,125.88,141.4,123.0,139.0,36126942
2020-12-22,BNTX,100.56,107.21,95.6,107.07,5032319
2020-12-21,AMZN,3206.18,3226.9666,3166.0,3200.01,3836846
2020-12-21,GOOGL,1734.56,1737.0,1694.0,1709.13,1698707
2020-12-21,FB,272.79,274.67,267.79,272.978,16553740
2020-12-21,PFE,37.38,37.4,36.91,37.28,40891838
2020-12-21,MRNA,138.3,147.26,137.79,140.84,23921047
2020-12-21,BNTX,106.46,107.97,104.57,107.51,2611030
2020-12-18,AMZN,3201.65,3249.42,3171.6,3243.99,5995713
2020-12-18,GOOGL,1726.22,1748.36,1715.0,1746.1702,4262837
2020-12-18,FB,276.4,278.0,271.14,275.775,26693249
2020-12-18,PFE,37.68,38.09,37.5,37.99,60259175
2020-12-18,MRNA,140.23,145.0,135.06,141.51,33157833
2020-12-18,BNTX,104.24,106.77,102.57,106.46,3108164
2020-12-17,AMZN,3236.08,3263.51,3221.0,3250.0,3474347
2020-12-17,GOOGL,1740.51,1766.71,1731.15,1763.93,1744005
2020-12-17,FB,274.48,280.44,273.61,277.07,16377844
2020-12-17,PFE,38.03,38.12,37.31,37.83,52036392
2020-12-17,MRNA,144.0,146.97,137.3,137.92,32404457
2020-12-17,BNTX,106.43,107.59,101.6201,102.6352,3487843
2020-12-16,AMZN,3240.96,3247.0,3163.68,3176.01,4427616
2020-12-16,GOOGL,1757.19,1769.11,1749.06,1769.11,1233836
2020-12-16,FB,275.67,277.86,272.51,274.76,15884999
2020-12-16,PFE,37.84,38.47,37.74,38.18,56515268
2020-12-16,MRNA,137.03,141.334,134.31,137.75,28476275
2020-12-16,BNTX,105.78,112.85,102.33,112.22,4802616
2020-12-15,AMZN,3165.12,3188.4999,3130.49,3181.01,3323686
2020-12-15,GOOGL,1761.08,1764.0,1741.67,1759.86,1068292
2020-12-15,FB,275.55,276.08,267.47,274.83,23979461
2020-12-15,PFE,38.71,39.18,38.21,39.06,66003269
2020-12-15,MRNA,147.22,157.28,142.46,157.0,36451258
2020-12-15,BNTX,111.2,116.26,108.33,114.21,5711848
2020-12-14,AMZN,3156.97,3190.47,3126.0,3143.0,4155794
2020-12-14,GOOGL,1752.26,1789.8,1749.13,1770.72,1652471
2020-12-14,FB,274.19,277.22,271.56,273.3722,16376880
2020-12-14,PFE,39.21,41.66,39.07,41.62,94809746
2020-12-14,MRNA,155.07,163.7611,152.5606,163.4,22467742
2020-12-14,BNTX,108.27,127.0,105.25,126.6286,10907926
2020-12-11,AMZN,3116.42,3118.67,3072.82,3096.66,3064695
2020-12-11,GOOGL,1774.8,1777.31,1752.74,1760.0,931431
2020-12-11,FB,273.55,276.48,270.25,274.53,14391401
2020-12-11,PFE,41.12,42.07,40.69,41.97,60737026
2020-12-11,MRNA,156.93,163.75,155.89,159.7,22069857
2020-12-11,BNTX,127.3,131.0,124.6401,130.1,4303742
2020-12-10,AMZN,3101.49,3142.1,3076.0,3088.99,3030179
2020-12-10,GOOGL,1767.65,1774.99,1733.527,1762.6,1434411
2020-12-10,FB,277.12,278.73,271.86,275.535,20065091
2020-12-10,PFE,41.73,42.22,41.445,41.82,57733315
2020-12-10,MRNA,155.69,159.5,148.0101,151.13,22058018
2020-12-10,BNTX,129.54,129.95,123.2001,123.82,5381039
2020-12-09,AMZN,3104.2,3174.43,3088.0,3167.89,4096259
